"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"51776",381738,"NEW YORK","June","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"52013",389123,"PENNSYLVANIA","July","Heat",0,0,2,0,"0.00K","0.00K"
"52178",405564,"MARYLAND","July","Excessive Heat",0,0,3,0,"",""
"52179",405507,"MARYLAND","July","Heat",0,0,1,0,"",""
"52346",359356,"CALIFORNIA","January","Rip Current",0,0,1,0,"0.00K","0.00K"
"52386",403712,"PENNSYLVANIA","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"52416",404564,"WISCONSIN","July","Excessive Heat",0,0,0,3,"",""
"52427",404748,"INDIANA","July","Rip Current",0,0,1,0,"0.00K","0.00K"
"52444",405620,"WISCONSIN","July","Heat",0,0,0,1,"0.00K","0.00K"
"52464",410930,"MICHIGAN","August","Rip Current",0,0,1,0,"0.00K","0.00K"
"52486",380749,"NEBRASKA","June","Heat",45,0,1,0,"0.00K","0.00K"
"52496",386013,"ARIZONA","July","Excessive Heat",1,0,1,0,"0.00K","0.00K"
"52523",405075,"ILLINOIS","July","Heat",0,0,1,0,"0.00K","0.00K"
"52537",399907,"ILLINOIS","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"52693",421590,"NEW YORK","October","Coastal Flood",0,0,0,1,"0.00K","0.00K"
"52712",404050,"ILLINOIS","July","Excessive Heat",0,0,23,2,"750.00K","0.00K"
"52714",392836,"ILLINOIS","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"52948",404467,"VIRGINIA","July","Heat",0,0,0,1,"0.00K","0.00K"
"52968",404138,"ILLINOIS","July","Heat",0,0,3,0,"0.00K","0.00K"
"53162",374032,"ARIZONA","May","Strong Wind",0,0,1,0,"0.00K","0.00K"
"53185",390432,"TEXAS","June","Heat",0,0,1,0,"0.00K","0.00K"
"53538",383636,"ILLINOIS","July","Excessive Heat",0,0,2,0,"0.00K","0.00K"
"53599",372428,"FLORIDA","March","Rip Current",0,0,1,0,"0.00K","0.00K"
"53677",395367,"FLORIDA","June","Rip Current",4,0,1,0,"0.00K","0.00K"
"53787",392165,"TEXAS","June","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"53804",401109,"TENNESSEE","July","Heat",0,0,2,0,"0.00K","0.00K"
"53876",420465,"NEW YORK","October","Coastal Flood",0,0,2,0,"0.00K","0.00K"
"53877",421617,"NEW YORK","October","Coastal Flood",0,0,1,0,"0.00K","0.00K"
"53888",420534,"NEW YORK","October","Coastal Flood",0,0,23,0,"0.00K","0.00K"
"53889",421130,"NEW YORK","October","Coastal Flood",0,0,6,0,"0.00K","0.00K"
"53935",396652,"WISCONSIN","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"53936",405184,"WISCONSIN","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"53967",399447,"MISSOURI","June","Excessive Heat",43,0,2,0,"0.00K","0.00K"
"54003",395053,"NEVADA","July","Heat",0,0,1,0,"0.00K","0.00K"
"54135",373389,"IOWA","May","Strong Wind",0,0,1,0,"0.00K","0.00K"
"54227",421666,"NEW JERSEY","October","Coastal Flood",0,0,1,0,"0.00K","0.00K"
"54287",378398,"MICHIGAN","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"54312",403713,"PENNSYLVANIA","July","Heat",0,0,1,0,"0.00K","0.00K"
